,Trafik Kaza Gösterge  ,Ölümlü Yaralanmal? Kaza Say?s?  ,Ölü Say?s?  ,Ölü Say?s?  ,Ölü Say?s?  ,Yaral? Say?s?  ,,,,,,,,
,Kaza Ölüm Durum  ,-  ,Toplam  ,Kaza Yerinde  ,Kaza Sonras? (30 Gün)  ,-  ,,,,,,,,
,Gün I???? Durum  ,  ,  ,  ,  ,  ,,,,YEAR,DAYLIGHT,ACCIDENTS,FATALITIES,FATALITY RATE (FATALITY / ACCIDENTS)
2020,Toplam  ,"150,275","4,866","2,197","2,669","226,266",,,,2020,Day,"100,578","2,793",0.027769492
,Gündüz  ,"100,578","2,793","1,195","1,598","148,870",,,,2020,Night,"45,623","1,905",0.041755255
,Gece  ,"45,623","1,905",929,976,"70,923",,,,2021,Day,"129,444","3,193",0.024667037
,Alacakaranl?k  ,"4,074",168,73,95,"6,473",,,,2021,Night,"53,403","1,963",0.036758235
,,,,,,,,,,2022,Day,"132,009","3,054",0.023134786
,,,,,,,,,,2022,Night,"60,415","1,992",0.032971944
,,,,,,,,,,2023,Day,"154,878","3,781",0.024412764
,,,,,,,,,,2023,Night,"74,844","2,540",0.033937256
2021,Toplam  ,"187,963","5,362","2,421","2,941","274,615",,,,2024,Day,"174,332","3,672",0.021063259
,Gündüz  ,"129,444","3,193","1,361","1,832","186,777",,,,2024,Night,"86,916","2,476",0.028487275
,Gece  ,"53,403","1,963",955,"1,008","80,127",,,,,,,,
,Alacakaranl?k  ,"5,116",206,105,101,"7,711",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2022,Toplam  ,"197,261","5,229","2,282","2,947","288,696",,,,,,,,
,Gündüz  ,"132,009","3,054","1,233","1,821","190,960",,,,,,,,
,Gece  ,"60,415","1,992",954,"1,038","90,426",,,,,,,,
,Alacakaranl?k  ,"4,837",183,95,88,"7,310",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2023,Toplam  ,"235,071","6,548","2,984","3,564","350,855",,,,,,,,
,Gündüz  ,"154,878","3,781","1,561","2,220","228,555",,,,,,,,
,Gece  ,"74,844","2,540","1,300","1,240","113,888",,,,,,,,
,Alacakaranl?k  ,"5,349",227,123,104,"8,412",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2024,Toplam  ,"266,854","6,351","2,713","3,638","385,117",,,,,,,,
,Gündüz  ,"174,332","3,672","1,452","2,220","248,977",,,,,,,,
,Gece  ,"86,916","2,476","1,173","1,303","127,765",,,,,,,,
,Alacakaranl?k  ,"5,606",203,88,115,"8,375",,,,,,,,
