YEAR,MONTH,ACCIDENTS,FATALITIES,RAINFALL,FATALITY RATE (FATALITIES/ACCIDENTS)
2020,1,"11,880",306,44.8,0.025757576
2020,2,"10,925",292,71.6,0.026727689
2020,3,"10,705",306,50.2,0.028584773
2020,4,"5,776",244,38.6,0.042243767
2020,5,"8,133",286,50.6,0.035165376
2020,6,"14,121",449,39.8,0.031796615
2020,7,"17,716",591,0,0.033359675
2020,8,"17,741",663,0,0.037371061
2020,9,"15,596",521,0.2,0.033406002
2020,10,"15,661",496,6.7,0.03167103
2020,11,"12,297",420,26.6,0.034154672
2020,12,"9,724",292,27.6,0.030028795
2021,1,"9,417",274,43.5,0.029096315
2021,2,"9,098",233,28.2,0.025610024
2021,3,"12,355",323,60.7,0.026143262
2021,4,"11,483",324,60.5,0.028215623
2021,5,"13,265",387,19,0.029174519
2021,6,"17,606",504,26.2,0.028626605
2021,7,"22,083",672,1.9,0.030430648
2021,8,"21,042",644,32.7,0.030605456
2021,9,"19,935",571,50.7,0.02864309
2021,10,"19,443",595,1.9,0.030602273
2021,11,"16,872",440,35.4,0.02607871
2021,12,"15,364",395,33.9,0.025709451
2022,1,"12,439",297,75,0.023876517
2022,2,"11,418",274,25.6,0.023997197
2022,3,"13,460",283,72.9,0.02102526
2022,4,"14,898",347,23.7,0.023291717
2022,5,"18,664",471,43.2,0.025235748
2022,6,"17,373",445,51.2,0.025614459
2022,7,"19,514",612,2,0.031362099
2022,8,"19,699",626,0,0.031778263
2022,9,"19,230",547,16,0.028445138
2022,10,"18,318",489,32.9,0.026695054
2022,11,"16,599",467,27.2,0.028134225
2022,12,"15,649",371,25.7,0.023707585
2023,1,"14,998",383,16.4,0.025536738
2023,2,"11,723",317,27.2,0.02704086
2023,3,"15,372",396,115.2,0.025761124
2023,4,"18,719",528,77.3,0.028206635
2023,5,"21,398",588,45.4,0.027479204
2023,6,"22,931",657,103.6,0.028651171
2023,7,"24,255",702,5.3,0.028942486
2023,8,"23,923",690,2.2,0.028842536
2023,9,"23,202",666,15.6,0.028704422
2023,10,"21,468",620,29.3,0.028880194
2023,11,"18,831",518,43.5,0.027507833
2023,12,"18,251",483,29.3,0.026464303
2024,1,"16,244",409,56.4,0.025178527
2024,2,"16,420",377,11.4,0.022959805
2024,3,"18,940",438,49,0.02312566
2024,4,"22,642",568,37.9,0.025086123
2024,5,"22,345",539,111.2,0.024121727
2024,6,"25,240",614,10.2,0.024326466
2024,7,"25,414",650,15.6,0.025576454
2024,8,"26,757",695,5.6,0.025974511
2024,9,"26,080",624,26.3,0.02392638
2024,10,"26,018",565,5,0.021715735
2024,11,"21,107",464,25.6,0.021983228
2024,12,"19,647",408,47.9,0.020766529
